,episode,win_ratio,avg_reward,avg_step_count,epsilon
0,1000,0.0,22.7,21.71,0.0
1,2000,0.16,319.4,318.38,0.0
2,3000,0.62,455.9,454.94,0.0
3,4000,0.86,486.0,484.99,0.0
4,5000,0.88,486.4,485.43,0.0
5,6000,0.97,496.2,495.19,0.0
6,7000,0.98,497.4,496.44,0.0
7,8000,0.94,497.8,496.81,0.0
8,9000,1.0,500.0,499.0,0.0
9,10000,0.97,493.6,492.57,0.0
10,11000,0.98,496.9,495.86,0.0
11,12000,0.96,497.4,496.41,0.0
12,13000,0.96,494.6,493.58,0.0
