,episode,win_ratio,avg_reward,avg_step_count,epsilon
0,500,0.0,55.2,109.36,1.0
1,1000,0.0,156.8,101.32,1.0
2,1500,0.0,281.9,115.0,1.0
3,2000,0.12,341.6,119.02,1.0
4,2500,0.02,314.6,115.52,1.0
5,3000,0.0,95.4,83.68,1.0
6,3500,0.24,376.2,116.56,1.0
7,4000,0.64,499.0,116.54,1.0
